'CK.snoc_eq_zero_of_marg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.snoc_eq_marg_mul_condDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.condDist_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_condDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.condDist_isDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.marg_mul_sum_condDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_condDist_mul_negMulLog' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.ent_chain' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.deficit_chain' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.k1' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.k1_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_k1' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.noisy_snoc' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.marg_noisy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lam' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.mix' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lam_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_lam' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lam_mul_sum_condDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.mix_isDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.marg_noisy_mul_lam' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.condDist_noisy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_marg_noisy_lam' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.onebit_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.deficit_mix_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.deficit_noisy_le_aux' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.deficit_noisy_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Cube' does not depend on any axioms
'CK.BooleanFunction' does not depend on any axioms
'CK.indicator' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sign' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.avg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.binaryEntropy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.eta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.kappa' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.mean' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.posterior' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.conditionalEntropy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.information' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.varianceProfile' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.mixedEntropy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.scalarSlack' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.CourtadeKumar' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.ScalarMixingClaim' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.LinearScalarMixingClaim' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.LowNoiseProfileClaim' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lowNoiseCK' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.complementaryCK' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.assemble_conditional' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.indicator_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sign_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.entropy_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.entropy_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.eta_eq_binaryEntropy_eps' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.log_inv_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.binaryEntropy_mono_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.le_binaryEntropy_of_small' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.binaryEntropy_ge_eps' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.K0_ge_alpha' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.J0_ge_rbeta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.M0_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.ell_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.q0_ge_Q' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.alpha_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.gfun' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_gfun' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.gfun_deriv_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.gfun_monotone' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.gfun_one_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.gfun_exp_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.core_psi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.endpoint_assemble' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.endpoint_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.log_inv_eps_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
